userID,email,passwordHash,name,role,accountStatus,monthlyIncome,currentBalance,failedLoginAttempts,lastLoginTime,currency,language,timezone,emailVerified,phoneNumber,avatarURL,budgetRule,createdAt,updatedAt
u001,admin@familybudget.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Admin User,ADMIN,ACTIVE,0,0,0,2025-01-10T10:00:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0901234567,https://i.pravatar.cc/150?img=1,50-30-20,2025-01-01T00:00:00Z,2025-01-10T10:00:00Z
u002,user1@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Nguyễn Văn An,USER,ACTIVE,15000000,5000000,0,2025-01-10T09:30:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0912345678,https://i.pravatar.cc/150?img=2,50-30-20,2025-01-02T00:00:00Z,2025-01-10T09:30:00Z
u003,user2@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Trần Thị Bình,USER,ACTIVE,20000000,8500000,0,2025-01-09T14:20:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0923456789,https://i.pravatar.cc/150?img=3,50-30-20,2025-01-02T00:00:00Z,2025-01-09T14:20:00Z
u004,user3@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Lê Văn Cường,USER,ACTIVE,12000000,3200000,0,2025-01-08T11:15:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0934567890,https://i.pravatar.cc/150?img=4,70-20-10,2025-01-03T00:00:00Z,2025-01-08T11:15:00Z
u005,user4@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Phạm Thị Dung,USER,ACTIVE,25000000,12000000,0,2025-01-10T08:45:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0945678901,https://i.pravatar.cc/150?img=5,50-30-20,2025-01-03T00:00:00Z,2025-01-10T08:45:00Z
u006,user5@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Hoàng Văn Em,USER,LOCKED,18000000,6500000,3,2025-01-05T16:30:00Z,VND,vi,Asia/Ho_Chi_Minh,FALSE,0956789012,https://i.pravatar.cc/150?img=6,50-30-20,2025-01-04T00:00:00Z,2025-01-05T16:30:00Z
u007,user6@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Vũ Thị Giang,USER,ACTIVE,30000000,15000000,0,2025-01-10T07:20:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0967890123,https://i.pravatar.cc/150?img=7,50-30-20,2025-01-04T00:00:00Z,2025-01-10T07:20:00Z
u008,user7@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Đỗ Văn Hải,USER,ACTIVE,22000000,9800000,0,2025-01-09T19:10:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0978901234,https://i.pravatar.cc/150?img=8,60-30-10,2025-01-05T00:00:00Z,2025-01-09T19:10:00Z
u009,user8@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Bùi Thị Lan,USER,ACTIVE,17000000,7200000,0,2025-01-10T06:50:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0989012345,https://i.pravatar.cc/150?img=9,50-30-20,2025-01-05T00:00:00Z,2025-01-10T06:50:00Z
u010,user9@example.com,$2a$10$EixZaYVK1fsbw1ZfbX3OXePaWxn96p36WQoeG6Lruj3vjPGga31lW,Ngô Văn Minh,USER,ACTIVE,28000000,13500000,0,2025-01-09T20:30:00Z,VND,vi,Asia/Ho_Chi_Minh,TRUE,0990123456,https://i.pravatar.cc/150?img=10,50-30-20,2025-01-06T00:00:00Z,2025-01-09T20:30:00Z
